level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Telangana,Bhadradri Kothagudem,,telangana|bhadradri kothagudem,,ssp245,2040-2060,38.511297,#49b153
district,Jharkhand,Chatra,,jharkhand|chatra,,ssp245,2040-2060,44.2845,#79c34c
district,Odisha,Balangir,,odisha|balangir,,ssp245,2040-2060,49.84208,#bcd654
district,Odisha,Khordha,,odisha|khordha,,ssp245,2040-2060,57.018343,#f9db56
district,West Bengal,Hooghly,,west bengal|hooghly,,ssp245,2040-2060,64.944728,#f7973b
district,West Bengal,24 Paraganas South,,west bengal|24 paraganas south,,ssp245,2040-2060,78.374028,#e44228
district,West Bengal,Darjeeling,,west bengal|darjeeling,,ssp245,2040-2060,90.500486,#ba1b22
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp245,2040-2060,98.542274,#97161a
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp245,2060-2080,0.142736,#e2f4fd
district,Punjab,Barnala,,punjab|barnala,,ssp245,2060-2080,19.023324,#6eb0de
district,Tamil Nadu,Ramanathapuram,,tamil nadu|ramanathapuram,,ssp245,2060-2080,30.578839,#489d97
district,Uttar Pradesh,Auraiya,,uttar pradesh|auraiya,,ssp245,2060-2080,37.897838,#49af5a
district,Uttar Pradesh,Fatehpur,,uttar pradesh|fatehpur,,ssp245,2060-2080,42.623299,#6abf4a
district,Jharkhand,Chatra,,jharkhand|chatra,,ssp245,2060-2080,48.973518,#b2d353
district,Madhya Pradesh,Umaria,,madhya pradesh|umaria,,ssp245,2060-2080,54.789237,#f4e75b
district,Bihar,Siwan,,bihar|siwan,,ssp245,2060-2080,61.124271,#f8b949
district,"Dadra, Nagar Haveli, Daman & Diu",Diu,,dadra nagar haveli daman diu|diu,,ssp245,2060-2080,67.656706,#f68032
district,Assam,Lakhimpur,,assam|lakhimpur,,ssp245,2060-2080,80.21137,#df3828
district,"Dadra, Nagar Haveli, Daman & Diu",Dadra and Nagar Haveli,,dadra nagar haveli daman diu|dadra and nagar haveli,,ssp245,2060-2080,91.788144,#b51a21
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp245,2060-2080,98.806487,#97161a
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp585,2020-2040,0.069849,#e2f4fd
district,Rajasthan,Jalore,,rajasthan|jalore,,ssp585,2020-2040,13.84536,#89c9ec
district,Maharashtra,Ahmednagar,,maharashtra|ahmednagar,,ssp585,2020-2040,23.688047,#5095cf
district,Andhra Pradesh,Visakhapatanam,,andhra pradesh|visakhapatanam,,ssp585,2020-2040,31.562804,#489f90
district,Telangana,Kumuram Bheem Asifabad,,telangana|kumuram bheem asifabad,,ssp585,2020-2040,36.254859,#49a96c
district,Uttar Pradesh,Banda,,uttar pradesh|banda,,ssp585,2020-2040,42.134354,#62bc49
district,Telangana,Kamareddy,,telangana|kamareddy,,ssp585,2020-2040,48.089772,#a4cf51
district,Madhya Pradesh,Indore,,madhya pradesh|indore,,ssp585,2020-2040,54.66776,#f4e75b
district,Madhya Pradesh,Vidisha,,madhya pradesh|vidisha,,ssp585,2020-2040,62.190233,#f8af45
district,West Bengal,24 Paraganas South,,west bengal|24 paraganas south,,ssp585,2020-2040,75.774417,#e84d29
district,"Dadra, Nagar Haveli, Daman & Diu",Dadra and Nagar Haveli,,dadra nagar haveli daman diu|dadra and nagar haveli,,ssp585,2020-2040,90.27879,#be1c23
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp585,2020-2040,98.341837,#9b161b
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp585,2040-2060,0.154883,#e2f4fd
district,Andhra Pradesh,Chittoor,,andhra pradesh|chittoor,,ssp585,2040-2060,18.528304,#6eb0de
district,Maharashtra,Akola,,maharashtra|akola,,ssp585,2040-2060,29.503766,#489aa2
district,Uttar Pradesh,Kannauj,,uttar pradesh|kannauj,,ssp585,2040-2060,36.655734,#49ac65
district,Rajasthan,Bundi,,rajasthan|bundi,,ssp585,2040-2060,41.779033,#62bc49
district,Uttarakhand,Tehri Garhwal,,uttarakhand|tehri garhwal,,ssp585,2040-2060,47.776968,#a4cf51
district,Bihar,Khagaria,,bihar|khagaria,,ssp585,2040-2060,53.261662,#e1e159
district,Madhya Pradesh,Indore,,madhya pradesh|indore,,ssp585,2040-2060,60.122085,#f8c04b
district,Madhya Pradesh,Narsinghpur,,madhya pradesh|narsinghpur,,ssp585,2040-2060,67.444121,#f68634
district,Assam,Sivasagar,,assam|sivasagar,,ssp585,2040-2060,79.376215,#e23e28
district,Maharashtra,Thane,,maharashtra|thane,,ssp585,2040-2060,91.754738,#b51a21
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp585,2040-2060,98.80345,#97161a
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,ssp585,2060-2080,0.212585,#e2f4fd
district,Jammu & Kashmir,Doda,,jammu kashmir|doda,,ssp585,2060-2080,25.391764,#4b90cb
district,Telangana,Hyderabad,,telangana|hyderabad,,ssp585,2060-2080,37.682216,#49af5a
district,Haryana,Panipat,,haryana|panipat,,ssp585,2060-2080,44.594266,#82c64d
district,Uttar Pradesh,Ghazipur,,uttar pradesh|ghazipur,,ssp585,2060-2080,50.11844,#bcd654
district,Gujarat,Sabar Kantha,,gujarat|sabar kantha,,ssp585,2060-2080,56.732872,#f9db56
district,Arunachal Pradesh,East Siang,,arunachal pradesh|east siang,,ssp585,2060-2080,61.267007,#f8b949
district,Jharkhand,Simdega,,jharkhand|simdega,,ssp585,2060-2080,66.612002,#f68634
district,Gujarat,Bharuch,,gujarat|bharuch,,ssp585,2060-2080,73.472425,#ef5d29
district,Bihar,Purbi Champaran,,bihar|purbi champaran,,ssp585,2060-2080,83.351555,#d92a28
district,"Dadra, Nagar Haveli, Daman & Diu",Dadra and Nagar Haveli,,dadra nagar haveli daman diu|dadra and nagar haveli,,ssp585,2060-2080,93.309645,#b21a20
district,Meghalaya,South West Khasi Hills,,meghalaya|south west khasi hills,,ssp585,2060-2080,98.970481,#97161a
