level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
district,Uttar Pradesh,Farrukhabad,,uttar pradesh|farrukhabad,,ssp585,2020-2040,56.173209,#fae259
district,Uttar Pradesh,Chitrakoot,,uttar pradesh|chitrakoot,,ssp585,2020-2040,61.578943,#f8af45
district,Assam,Jorhat,,assam|jorhat,,ssp585,2020-2040,68.80076,#f5762e
district,West Bengal,Howrah,,west bengal|howrah,,ssp585,2020-2040,81.653044,#db3028
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp585,2040-2060,0.417795,#e2f4fd
district,Manipur,Tamenglong,,manipur|tamenglong,,ssp585,2040-2060,16.338244,#7ebee6
district,Karnataka,Haveri,,karnataka|haveri,,ssp585,2040-2060,35.955071,#49a96c
district,Mizoram,Lunglei,,mizoram|lunglei,,ssp585,2040-2060,44.407278,#79c34c
district,Andhra Pradesh,Chittoor,,andhra pradesh|chittoor,,ssp585,2040-2060,51.306313,#cada56
district,Rajasthan,Baran,,rajasthan|baran,,ssp585,2040-2060,58.286044,#f9d152
district,Haryana,Hisar,,haryana|hisar,,ssp585,2040-2060,63.55555,#f7a13f
district,Gujarat,Gir Somnath,,gujarat|gir somnath,,ssp585,2040-2060,67.533059,#f68032
district,Jharkhand,Palamu,,jharkhand|palamu,,ssp585,2040-2060,72.795623,#ef5d29
district,Tamil Nadu,Ramanathapuram,,tamil nadu|ramanathapuram,,ssp585,2040-2060,78.190077,#e44228
district,Assam,Marigaon,,assam|marigaon,,ssp585,2040-2060,82.973674,#d92a28
district,West Bengal,Howrah,,west bengal|howrah,,ssp585,2040-2060,94.166927,#ac191f
district,Himachal Pradesh,Lahul and Spiti,,himachal pradesh|lahul and spiti,,ssp585,2060-2080,0.543176,#ddf2fc
district,Arunachal Pradesh,West Kameng,,arunachal pradesh|west kameng,,ssp585,2060-2080,26.056417,#4890c1
district,Chhattisgarh,Narayanpur,,chhattisgarh|narayanpur,,ssp585,2060-2080,51.432997,#cada56
district,Nagaland,Chumoukedima,,nagaland|chumoukedima,,ssp585,2060-2080,61.738599,#f8af45
district,Rajasthan,Banswara,,rajasthan|banswara,,ssp585,2060-2080,69.138293,#f5762e
district,Karnataka,Raichur,,karnataka|raichur,,ssp585,2060-2080,74.544894,#eb5329
district,Haryana,Faridabad,,haryana|faridabad,,ssp585,2060-2080,78.853863,#e23e28
district,Odisha,Kendujhar,,odisha|kendujhar,,ssp585,2060-2080,82.057389,#db3028
district,Gujarat,Gir Somnath,,gujarat|gir somnath,,ssp585,2060-2080,85.941188,#cf1e27
district,"Dadra, Nagar Haveli, Daman & Diu",Daman,,dadra nagar haveli daman diu|daman,,ssp585,2060-2080,90.543437,#ba1b22
district,Tamil Nadu,Karur,,tamil nadu|karur,,ssp585,2060-2080,93.513553,#ac191f
district,West Bengal,Hooghly,,west bengal|hooghly,,ssp585,2060-2080,98.498456,#9b161b
