state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
Nagaland,ssp245,2060-2080,linear,46.84629324885273,45.7127149590673,-1.133578289785433,16,16
Nagaland,ssp585,2020-2040,linear,30.27191600128541,29.211573120467516,-1.0603428808178919,16,16
Nagaland,ssp585,2040-2060,linear,45.50036101326137,44.35664275892057,-1.143718254340797,16,16
Nagaland,ssp585,2060-2080,linear,59.58338281302514,58.38040843002606,-1.2029743829990807,16,16
Odisha,historical,1990-2010,linear,42.317577940232816,41.634672136279946,-0.6829058039528704,30,30
Odisha,ssp245,2020-2040,linear,52.37600826752529,51.65402509158686,-0.7219831759384334,30,30
Odisha,ssp245,2040-2060,linear,62.52680540239637,61.678288628129806,-0.8485167742665638,30,30
Odisha,ssp245,2060-2080,linear,70.64021459769985,69.72830305272889,-0.9119115449709625,30,30
Odisha,ssp585,2020-2040,linear,52.41793990508949,51.71939753521758,-0.6985423698719089,30,30
Odisha,ssp585,2040-2060,linear,69.14857750149876,68.30091378721814,-0.8476637142806283,30,30
Odisha,ssp585,2060-2080,linear,85.48487691340907,84.65633199098613,-0.8285449224229353,30,30
Puducherry,historical,1990-2010,linear,43.777406547683846,45.342862277285036,1.5654557296011902,4,4
Puducherry,ssp245,2020-2040,linear,56.173602520220555,56.82785779343151,0.654255273210957,4,4
Puducherry,ssp245,2040-2060,linear,68.51392575428375,68.70484023757717,0.19091448329342597,4,4
Puducherry,ssp245,2060-2080,linear,77.81690472623077,77.23761062746712,-0.5792940987636541,4,4
Puducherry,ssp585,2020-2040,linear,57.087822545945855,57.84455231291276,0.756729766966906,4,4
Puducherry,ssp585,2040-2060,linear,76.28386488543445,75.70843803336078,-0.5754268520736758,4,4
Puducherry,ssp585,2060-2080,linear,90.64516622788031,91.34101798209434,0.6958517542140328,4,4
Punjab,historical,1990-2010,linear,42.404299716601834,42.72765210904068,0.3233523924388493,23,23
Punjab,ssp245,2020-2040,linear,53.517808075654685,53.85380574909939,0.33599767344470877,23,23
Punjab,ssp245,2040-2060,linear,62.92366025518191,63.2548801621563,0.33121990697438974,23,23
Punjab,ssp245,2060-2080,linear,71.07820311815935,71.40880547276764,0.33060235460828835,23,23
