ruler,state,district,block,block_key,scenario,period,composite,weight_coverage,composite_gated,clamped_metric_count,composite_baseline_referenced,coverage_baseline_referenced,composite_absolute_threshold,coverage_absolute_threshold,score__tas_annual_mean,score__tasmax_summer_mean,score__tas_summer_mean,score__txx_annual_max,score__tn90p_warm_nights_pct,score__hwa_heatwave_amplitude,score__txge30_hot_days,score__txge35_extreme_heat_days,score__tasmin_tropical_nights_gt25,score__hwfi_tmean_90p,score__hwfi_events_tmean_90p,score__wsdi_warm_spell_days,score__tnx_annual_max,score__tx90p_hot_days_pct
cdf,Telangana,Vikarabad,Doma,telangana|vikarabad|doma,ssp245,2020-2040,44.32988489132655,1.0,44.32988489132655,0,28.880173264827047,1.0,53.27445478035258,1.0000000000000004,57.83721489373024,72.4129046990956,77.5362647152273,47.62778195980162,28.509508014893132,58.722217495374196,52.475600400683845,49.93182572681298,24.338899968787253,27.04914001765788,28.477681728004,33.569145641729115,38.63711069004242,27.1672478323336
cdf,Telangana,Vikarabad,Doulatabad,telangana|vikarabad|doulatabad,ssp245,2020-2040,48.785708424013805,1.0,48.785708424013805,0,29.69865415048311,1.0,59.836108266584176,1.0000000000000004,67.02372805587247,78.7837738984987,83.839104752769,51.13652894761537,29.172752760999348,64.98766833802672,70.39481082738187,55.71977380056639,26.528431167831627,28.18020351611295,28.870210314803142,34.76178505916645,40.99815942257703,27.933156257460865
cdf,Telangana,Vikarabad,Kodangal,telangana|vikarabad|kodangal,ssp245,2020-2040,49.72741998785408,1.0,49.72741998785408,0,29.67219377783573,1.0,61.33834042523311,1.0000000000000004,68.89691251071767,79.95920537902842,85.19492041635944,52.19621839036515,29.18890563514106,66.62653249944796,72.2565666549261,56.71208281035923,27.789582088888462,28.33920894580802,28.755442299193234,34.3802585288705,43.37652556716878,28.09919255467328
cdf,Telangana,Vikarabad,Kotepally,telangana|vikarabad|kotepally,ssp245,2020-2040,44.612643984787354,1.0,44.612643984787354,0,28.90222872369402,1.0,53.70814755699927,1.0000000000000004,58.292756446354346,73.37080293942383,78.69229601680814,48.56738244778006,27.83740450358982,58.53054768750968,50.23208651637194,49.989419782764855,24.827924169369588,26.583195406211072,29.271430830866407,33.85334849245031,40.949703251288234,27.475699341667365
cdf,Telangana,Vikarabad,Kulkacharla,telangana|vikarabad|kulkacharla,ssp245,2020-2040,45.980899764507534,1.0,45.980899764507534,0,28.94938407984795,1.0,55.84125095036306,1.0000000000000004,61.98643216865143,74.38004366102959,79.29075675497144,48.66159585247838,28.48612287501312,60.91670558734984,61.28917853127168,52.54693467894917,25.04767337699985,27.327281463808408,28.553355866699782,33.57853805991755,38.97798805679062,27.169703788658047
cdf,Telangana,Vikarabad,Marpally,telangana|vikarabad|marpally,ssp245,2020-2040,44.57161998966173,1.0,44.57161998966173,0,29.030771061495532,1.0,53.56895357965267,1.0000000000000004,58.55647683328788,73.65088033729577,79.1846837696621,49.04263045629812,27.94243672044031,56.676586736495636,48.10768991484641,49.935281309229694,25.286034872478385,26.943918441280253,28.925774457167993,34.399686653114514,42.03499047890797,27.488103773806245
cdf,Telangana,Vikarabad,Mominpet,telangana|vikarabad|mominpet,ssp245,2020-2040,44.078572147256175,1.0,44.078572147256175,0,28.780885991447555,1.0,52.93512729009273,1.0000000000000004,57.46865561071068,72.7750144828375,78.33685554181041,48.4085202779014,27.76330668166276,56.806458267357904,47.33699514636343,49.31345865915544,24.881991285715106,26.464268023169975,29.02680806852536,33.89402378804497,41.25201534771427,27.26925520968086
cdf,Telangana,Vikarabad,Nawabpet,telangana|vikarabad|nawabpet,ssp245,2020-2040,43.539669283456256,1.0,43.539669283456256,0,28.43554403696399,1.0,52.28416284721492,1.0000000000000004,56.31643607377829,71.2309787243958,77.12974060742363,47.984035076566165,27.737667539936805,56.70120683897833,47.37664343557106,48.79005636356698,24.542017023299984,26.288951020812945,28.630458051632058,33.1245508996279,40.457122426075316,26.81452167225241
cdf,Telangana,Vikarabad,Pargi,telangana|vikarabad|pargi,ssp245,2020-2040,44.35609163426688,1.0,44.35609163426688,0,28.87966551481027,1.0,53.31612780868914,1.0000000000000004,57.83239364734073,72.40983560311085,77.53216381333696,47.62671418668698,28.50908549615238,59.09346012498096,52.427494174625416,49.92755683107053,24.337376509189507,27.04798110475019,28.47761684920408,33.56890412208393,38.63617571428782,27.166601640983554
cdf,Telangana,Vikarabad,Peddemul,telangana|vikarabad|peddemul,ssp245,2020-2040,47.75333115568711,1.0,47.75333115568711,0,29.435090434564607,1.0,58.358628415284336,1.0000000000000004,64.74234576782135,77.74991462178005,83.40263289262653,51.23225499408375,28.319061868175492,62.360537538428154,62.22363574849589,53.69723015575399,26.728946929474585,27.522653168011146,28.941937750110434,34.8872887900763,43.87127316360896,28.084216481922894
